1, 77, 2569, 104
2, 1, 91, 50
3, 4, 65, 21
4, 3, 46, 20
5, 2, 58, 26
7, 1, 42, 12
11, 3, 32, 6
25, 3, 32, 3
27, 2, 41, 2
