1,0.003756745
2,0.001872253
3,0.031309556
4,0.002023414
5,0.010033445
6,0.01285347
7,0.00660066
8,0.013578275
9,0.027027027
10,0.034383954
11,0.028806584
12,0.002783577
13,0.03125
14,0.029880478
15,0.057142857
16,0.05
17,0.1
18,0.134146341
19,0.142857143
20,0.085106383
21,0.043478261
23,0.052631579
24,0.210526316
25,0.09375
26,0.236111111
27,0.0625
28,0.055555556
29,0.007194245
31,0.083333333
32,0.011904762
33,0.285714286
36,0.05
37,0.035202086
38,0.071428571
41,0.090909091
42,0.011627907
43,0.666666667
44,0.111111111
46,0.033333333
47,0.023255814
48,0.058823529
52,0.071428571
53,0.266666667
63,0.01863354
68,0.076923077
73,0.035714286
78,1.333333333
86,0.022222222
93,0.0625
97,0.023809524
103,0.018867925
113,0.147058824
118,1.125
136,1
139,0.027027027
235,0.035714286
401,0.014814815
490,0.063636364
540,0.02690583
1256,0.004792332
1442,0.021489971
1541,0.00887574
1542,0.003538928
2230,0.024050633
3334,0.034155598
11449,0.005910914
